#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      289.0   235.0   160.7   204.7   216.4   270.1   296.7   314.3   327.5   343.7   366.4   398.1   465.5  2924.1  9888.6  29959.5    30000  1683235228537  1683235238678
read      285.5   220.2   160.7   204.1   213.7   266.6   294.4   312.5   325.8   342.8   366.1   398.9   463.1  1990.0 11267.5  29903.3    30005  1683235240184  1683235250310
read      284.6   226.0   160.7   204.3   214.9   266.7   293.5   310.9   323.4   340.7   363.3   395.4   461.6  1710.8  9877.2  29938.4    30010  1683235251819  1683235261927
read      283.4   206.5   160.7   203.1   212.6   264.6   292.3   309.9   322.3   339.7   361.8   393.9   461.1  2522.7  9485.9  30021.5    30015  1683235263436  1683235273543
read      285.1   189.4   160.7   204.7   215.3   266.6   294.2   312.5   326.1   343.5   366.7   399.1   469.8  1665.8  8687.2  30057.6    30020  1683235275050  1683235285163
read      287.4   204.0   160.7   204.5   214.8   267.5   295.8   314.6   328.8   345.5   368.9   402.7   481.9  2186.4  9792.5  30031.3    30025  1683235286669  1683235296778
read      283.2   193.0   160.7   203.7   213.5   265.0   292.1   309.9   322.6   340.2   362.7   395.0   463.5  2047.4  8748.2  30002.7    30030  1683235298284  1683235308395
read      284.5   198.4   148.8   205.1   215.2   265.3   292.2   310.1   323.3   341.6   365.6   399.1   469.3  1976.1  8790.2  30002.5    30035  1683235309906  1683235320007
read      285.6   197.4   160.7   204.0   214.1   267.4   295.1   313.3   326.9   343.9   366.9   398.6   468.2  1922.7  8705.8  29983.0    30040  1683235321517  1683235331622
read      289.6   240.2   148.8   205.6   216.1   267.9   296.1   314.8   329.3   346.5   370.7   403.3   480.4  2691.9 11435.4  29956.0    30045  1683235333130  1683235343239
read      294.3   320.3   160.7   204.1   212.8   263.2   292.3   311.7   326.6   345.4   370.5   405.8   525.3  5299.5 12370.3  30122.7    30050  1683235344747  1683235354856
read      294.6   351.0   160.7   204.0   212.0   260.8   289.9   309.2   323.4   342.5   368.1   405.6   509.4  5380.1 12323.5  30048.0    30055  1683235356364  1683235366473
read      290.4   278.6   160.7   203.0   212.1   265.2   294.4   313.7   328.4   346.0   370.0   403.1   487.0  4280.1 12496.5  30068.0    30060  1683235367982  1683235378085
