#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      436.6   408.9   173.5   268.2   298.1   402.4   445.7   469.4   489.6   511.6   548.5   616.4   875.5  5887.8 19227.1   5013.8     5000  1684073858987  1684073864358
read      442.7   302.9   160.7   240.6   270.7   426.0   484.7   515.1   536.7   562.3   594.9   654.5   808.8  3771.8 12440.2   9988.4    10000  1684073865863  1684073871194
read      449.5   290.5   160.7   226.4   252.2   431.9   504.0   541.6   567.3   594.2   631.2   687.2   857.4  4043.2  9867.9  15071.0    15000  1684073872698  1684073877996
read      472.8   244.3   160.7   228.4   254.1   450.5   538.9   583.8   614.8   649.1   690.6   764.9   977.5  2569.0  8481.8  19894.8    20000  1684073879499  1684073884802
read      476.5   267.6   160.7   223.0   243.8   440.1   537.1   592.0   630.5   673.4   728.7   849.9  1108.7  1713.2  9232.5  24969.6    25000  1684073886306  1684073891601
read      484.9   316.9   160.7   219.7   239.9   440.7   540.3   599.2   640.0   687.9   752.5   923.1  1197.4  2517.7 12705.4  29958.6    30000  1684073893105  1684073898391
read      478.8   286.7   160.7   217.1   234.7   425.9   532.5   595.7   642.5   697.0   776.3   944.0  1241.0  2000.5  8595.9  34985.2    35000  1684073899895  1684073905167
read      470.9   301.5   160.7   215.6   232.3   405.9   522.6   594.0   646.0   702.7   785.2   936.6  1230.6  2030.0 11327.6  39980.0    40000  1684073906671  1684073911943
read      472.9   350.7   148.8   209.8   225.5   373.2   492.1   567.6   628.3   705.7   856.8  1107.3  1479.8  2744.8 10507.5  44896.6    45000  1684073913447  1684073918735
read      455.6   314.0   160.7   209.6   224.8   362.4   475.5   554.0   616.5   689.4   806.7  1031.7  1393.5  1935.5  8790.2  50001.8    50000  1684073920239  1684073925518
read      442.1   313.4   148.8   209.9   225.5   352.5   460.2   537.0   600.8   672.9   769.1   945.9  1316.9  2055.7  9547.2  55010.2    55000  1684073927022  1684073932302
read      442.7   296.5   160.7   210.7   226.2   350.8   450.3   528.0   597.2   678.8   788.1   984.0  1346.4  1866.2  8360.6  59919.2    60000  1684073933805  1684073939082
read      432.6   292.1   148.8   208.8   223.8   339.6   431.0   504.8   574.2   662.9   776.4   984.5  1353.9  1862.3  9017.5  64892.6    65000  1684073940585  1684073945867
read      435.8   329.1   148.8   209.7   225.0   339.8   424.0   489.8   553.8   654.2   786.9  1025.2  1422.3  2292.7 11076.2  69986.8    70000  1684073947372  1684073952647
read      417.8   308.2   148.8   206.2   220.8   324.5   399.3   458.0   517.2   621.6   758.2  1002.3  1374.1  1982.6 10206.1  74987.4    75000  1684073954150  1684073959433
read      424.5   321.7   148.8   209.0   224.2   331.1   402.0   457.8   516.7   621.9   774.8  1033.1  1404.6  2109.0 11582.4  79953.6    80000  1684073960936  1684073966207
read      455.3   403.8   148.8   214.9   231.5   339.1   403.7   456.9   514.4   635.2   855.9  1174.6  1857.4  3728.0 10143.4  84885.4    85000  1684073967710  1684073972986
read      679.4  1550.6   148.8   231.8   254.2   341.9   374.8   399.5   424.2   470.0   883.4  2803.6  6884.1 25461.7 36927.4  89544.2    90000  1684073974489  1684073979765
read      625.4  1294.4   148.8   228.0   246.4   321.1   354.0   377.5   403.1   471.3  1086.5  2600.0  5493.8 12569.1 35494.5  94988.3    95000  1684073981269  1684073986562
read      789.9  2366.6   160.7   275.5   292.8   351.8   374.0   390.8   401.5   421.5   456.8  1991.2 12182.5 31613.0 39795.6  91691.2   100000  1684073988065  1684073993349
read      775.4  2275.3   148.8   275.4   291.8   348.0   370.7   386.7   398.8   419.1   460.6  2210.3 11919.3 31043.4 40176.2  92527.8   105000  1684073994852  1684074000142
read      775.3  2310.9   160.7   266.7   283.6   342.7   367.7   384.2   397.8   419.5   464.1  2404.0 11371.2 31625.1 41616.2  93734.6   110000  1684074001645  1684074006929
read      806.7  2398.9   148.8   277.9   298.0   358.3   382.1   397.4   409.7   429.9   467.2  2244.3 12214.9 31645.5 39865.8  90025.6   115000  1684074008433  1684074013720
read      777.6  2309.8   160.7   273.0   289.5   347.2   370.3   386.2   398.1   417.3   455.8  2063.3 12009.0 31613.7 39900.9  92685.4   120000  1684074015223  1684074020514
read      799.1  2410.3   160.7   278.4   298.1   353.4   374.0   390.5   401.1   420.7   455.7  1902.8 12217.9 31681.0 40159.8  91109.6   125000  1684074022017  1684074027298
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 69.97%,1.49%,100.00%
