./mcperf -s 10.0.16.3 -a 10.0.16.2 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1200 --qps_interval 10 --qps_min 5000 --qps_max 100000 --qps_seed 3274 | tee out.txt
Random waveform, supplied seed
Total number of intervals = 120 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791)
Average QPS expected = 51270
Timestamp start: 1684089288580
Timestamp end: 1684090488986
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      442.6   372.3   173.5   266.1   301.0   418.7   458.1   481.0   499.1   522.3   554.3   613.5   769.6  7222.1 12717.6   7450.2     7434
read      372.0   402.6   160.7   211.5   224.0   313.4   377.2   419.9   454.0   495.9   547.4   621.0   927.5  5056.8 12571.3  67320.7    67201
read      348.0   412.2   160.7   209.2   221.4   298.3   350.4   384.5   410.9   445.3   492.6   565.4   794.6  5338.1 18551.3  85851.8    85927
read      455.7   744.7   160.7   222.3   237.0   357.7   439.3   491.8   531.7   579.8   642.1   771.2  1908.2  9027.4 31945.4  63980.4    63953
read      433.4   361.9   160.7   223.3   238.8   379.3   483.8   536.5   569.5   604.5   645.4   714.9  1052.6  4039.3 14805.8  31464.6    31595
read      358.6   208.0   160.7   216.5   228.9   321.0   380.0   416.1   443.7   478.1   525.5   597.2   786.3  2262.6  7751.6  87855.8    87879
read      668.9  1982.2   173.5   243.3   271.9   430.5   485.3   516.1   538.8   568.1   612.2   740.5  6627.0 32015.7 49495.9   7320.8     7287
read      376.5   435.7   160.7   210.8   223.1   310.6   375.2   420.9   458.5   504.9   559.1   631.5  1064.9  5473.6 15878.0  62278.1    62295
read      658.9  1930.3   173.5   247.5   278.9   424.6   475.5   504.9   528.5   555.8   597.9   745.8  6551.7 31756.4 47086.9   6594.8     6561
read      593.2  1342.4   160.7   218.6   235.0   424.4   536.6   597.2   636.4   679.3   738.0   910.6  5717.7 24201.1 36565.7  22607.5    22532
