 ./mcperf -s 10.0.16.3 -a 10.0.16.2 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1200 --qps_interval 10 --qps_min 5000 --qps_max 100000 --qps_seed 3274 | tee out_3.txt
Random waveform, supplied seed
Total number of intervals = 120 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791)
Average QPS expected = 51270
Timestamp start: 1684092729864
Timestamp end: 1684093930260

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      527.5  1296.5   173.5   248.3   281.4   413.4   459.3   486.6   506.5   534.9   574.5   656.5  3885.7 28903.5 40064.9   7388.8     7434
read      356.2   379.0   148.8   203.7   215.4   303.2   366.1   404.8   436.3   475.5   523.9   588.7   859.0  4486.3 12686.7  67197.3    67201
read      413.5   579.5   148.8   214.2   229.1   345.6   418.2   462.7   497.5   540.4   600.2   710.5  1083.1  8592.2 28951.3  85955.0    85927
read      371.8   289.1   148.8   210.3   224.4   328.5   398.8   439.9   470.8   508.7   554.9   622.7   824.7  3109.3 10691.7  63790.7    63953
read      418.2   538.3   160.7   211.7   225.9   354.7   449.2   497.5   527.8   559.9   596.9   663.2  1162.4  6487.7 27699.3  31627.0    31595
read      344.4   310.1   160.7   205.6   218.6   303.3   359.1   393.0   419.1   451.5   494.8   562.2   745.9  4613.9  8536.0  87936.0    87879
read      612.0  1725.7   160.7   236.5   266.1   413.3   463.8   492.8   513.2   541.7   584.0   698.4  5874.6 31809.7 39131.6   7243.0     7287
read      369.3   425.4   148.8   204.6   216.8   308.4   374.2   417.5   452.6   495.2   544.3   615.8  1007.6  5442.3 14690.4  62056.7    62295
read      634.0  1842.4   173.5   244.0   276.6   415.1   463.1   490.5   509.1   538.1   579.6   692.7  6679.0 31754.0 38620.2   6549.3     6561
read      411.2   431.6   148.8   211.9   227.0   378.8   455.3   489.8   511.8   538.5   572.8   629.0   930.7  5492.2 15367.2  22498.6    22532
read      373.7   270.5   148.8   211.0   225.0   329.1   400.4   444.9   478.5   518.1   566.6   636.2   831.1  2770.7 10175.1  60615.1    60653
read      379.3   249.1   160.7   213.6   227.5   335.8   409.6   454.9   489.1   529.5   578.7   648.5   846.2  2398.0  9300.3  59099.2    59076
read      380.8   265.4   160.7   213.8   227.9   335.7   408.7   454.0   488.5   529.0   578.0   647.7   863.6  2517.0  9631.8  60175.7    60154
read      421.9   256.6   160.7   222.2   238.6   398.8   488.7   527.1   551.0   578.8   613.1   666.5   816.6  3050.9 10477.1  23087.2    22964
read      426.9   279.0   173.5   254.4   285.7   411.0   451.1   472.3   490.4   508.5   539.3   589.2   743.0  4311.8 10013.3   8262.6     8172
read      425.5   373.4   160.7   219.1   234.4   387.9   471.9   513.8   541.1   572.1   610.6   673.7  1003.1  4130.1 11325.4  27715.3    27652
read      422.4   389.4   160.7   218.3   232.8   366.3   460.2   515.2   551.9   591.1   636.7   703.2  1047.7  4076.4 14941.7  37552.5    37594
read      422.9   337.4   160.7   219.0   233.6   389.7   483.5   521.8   545.9   574.2   608.8   667.2   955.1  3935.5 10819.0  24309.9    24367
read      415.4   341.4   160.7   214.2   228.6   364.8   461.6   514.2   547.4   583.9   628.8   692.5  1063.9  3165.6 11634.9  33829.8    33771
read      355.2   355.1   160.7   208.2   221.5   309.0   366.1   400.2   427.6   461.8   506.8   579.4   864.0  4500.4 13151.4  84844.2    84944
read      359.6   356.9   148.8   208.9   222.2   312.7   371.6   406.4   433.7   467.2   512.2   587.2   870.4  4744.4 13356.1  85790.8    85666
read      391.9   364.8   160.7   210.8   224.7   335.8   413.7   463.9   501.6   543.1   590.3   662.7  1007.2  4065.2 12742.6  51897.2    51918
read      404.2   317.3   160.7   211.7   225.6   351.8   450.2   502.4   534.0   567.1   605.6   666.6   952.2  3877.5 12067.7  34411.4    34406
read      423.6   384.4   148.8   216.1   230.6   373.8   476.4   523.4   552.2   583.8   623.0   682.4   999.0  4308.8 12786.1  28677.7    28664
read      398.3   297.0   160.7   211.0   224.7   344.3   437.4   492.4   526.8   561.9   601.4   662.8   955.9  3721.6  9755.6  38239.3    38289
read      424.1   359.3   160.7   220.7   236.4   402.8   484.5   519.1   541.1   567.3   598.3   653.3   843.2  3849.9 15293.5  20673.1    20658
read      434.5   392.9   160.7   226.6   246.9   418.2   475.7   504.3   525.5   548.2   582.9   639.0   896.9  4256.8 17635.2  13819.8    13840
read      351.6   355.1   148.8   207.1   220.5   309.3   364.5   397.4   423.1   454.7   497.6   568.5   798.7  4685.0 10442.5  93303.7    93419
read      351.7   358.4   148.8   207.8   221.3   309.8   363.8   396.1   421.2   452.1   494.2   563.9   794.0  4665.9 11726.8  98161.6    98284
read      375.0   447.6   148.8   207.9   221.3   314.9   379.2   420.4   453.0   493.7   545.2   622.3   998.7  5724.8 19101.2  71185.7    71313
read      387.3   329.0   160.7   207.6   220.9   330.9   414.5   466.7   502.8   539.6   581.6   644.8   968.1  4089.3  9689.7  41966.5    42089
read      381.0   289.7   148.8   207.2   220.3   325.9   405.0   458.2   496.1   535.8   580.3   643.2   956.2  3482.9 10489.3  46389.6    46458
read      402.1   364.1   148.8   209.5   223.4   351.3   447.1   494.3   523.8   554.3   591.0   653.6   961.0  3717.3 12744.2  30690.4    30755
read      389.1   340.1   160.7   208.1   221.4   332.0   414.8   468.6   505.4   543.2   585.5   646.9   969.6  4166.2 11358.2  42783.6    42889
read      344.5   350.5   148.8   206.1   219.0   302.4   354.9   386.7   410.6   440.8   482.2   547.3   745.6  4892.2 10440.8  93566.3    93552
read      369.9   424.3   148.8   207.4   220.6   312.5   376.8   418.3   451.8   493.4   543.2   613.0   947.1  4865.1 15942.8  65716.8    65694
read      404.1   379.1   160.7   210.0   224.0   353.3   449.4   496.4   525.4   555.2   591.1   650.3  1001.7  3992.5 13851.2  29663.1    29574
read      373.9   346.9   148.8   206.5   219.5   317.6   390.6   438.2   475.7   517.6   564.3   629.2   896.9  4430.4 14124.8  51370.1    51355
read      366.6   366.7   160.7   206.9   220.1   312.0   375.6   416.1   448.3   488.9   538.0   609.2   983.5  4377.7 11927.9  67352.0    67361
read      414.4   420.5   160.7   219.4   235.5   395.1   453.9   482.6   502.1   526.3   555.4   612.1   884.1  5043.9 20230.4  16349.6    16287
read      356.5   349.7   148.8   207.1   220.3   309.5   369.0   404.0   431.9   466.6   512.6   584.8   831.0  4731.8 10543.2  81523.6    81508
read      347.8   372.7   148.8   206.3   219.3   304.0   358.1   390.9   415.9   447.3   490.7   557.3   760.3  4964.2 12669.7  87524.0    87619
read      342.3   331.4   160.7   206.4   219.5   303.2   354.1   384.7   407.2   436.0   475.6   542.2   747.0  4471.3 11695.9  99239.5    99068
read      379.2   364.8   160.7   207.4   220.8   321.9   397.1   446.2   484.1   525.4   571.6   636.9   949.5  4023.7 12397.7  51122.6    51267
read      417.0   334.9   160.7   229.1   251.3   401.3   448.8   473.5   493.2   514.8   545.7   602.8   835.3  4078.6 12668.6  11842.1    11822
read      346.1   373.1   148.8   206.6   219.6   303.6   355.2   386.5   409.8   439.4   481.0   547.0   794.1  4481.8 13735.9  97365.2    97494
read      345.1   351.8   148.8   207.0   220.2   305.6   357.9   389.1   412.7   442.4   483.0   546.6   737.6  4545.3 12870.5  97372.8    97350
read      375.4   394.7   160.7   207.6   220.9   318.4   389.3   434.7   470.9   513.0   560.1   626.7   892.6  4807.4 14633.6  55598.2    55460
read      349.1   332.3   148.8   207.1   220.3   304.9   359.7   393.4   419.4   452.5   497.6   568.0   792.3  4181.8 11593.9  86122.6    85984
read      352.8   413.1   148.8   206.5   219.6   305.8   361.9   396.1   423.1   456.9   501.7   571.4   784.8  4867.1 22684.4  82209.9    82043
read      375.8   356.6   148.8   207.0   220.2   318.7   391.0   438.0   475.7   517.3   564.3   628.9   931.1  4141.1 12185.0  52985.5    52873
read      407.8   311.1   160.7   221.6   239.3   392.6   443.4   468.9   488.8   509.6   541.9   596.2   860.2  3885.2 13053.3  13935.9    13911
read      379.4   353.2   148.8   207.5   220.9   323.0   398.3   447.4   484.7   525.7   571.6   635.5   973.2  3798.3 11939.6  50110.2    49984
read      415.7   462.6   173.5   237.3   263.0   391.0   430.0   452.9   468.7   492.6   524.6   584.2   852.6  6025.2 24718.2   9301.9     9274
read      403.9   344.5   160.7   212.1   226.9   367.5   447.3   486.8   512.1   540.6   576.8   634.2   942.6  3885.2 10250.3  27050.5    27187
read      411.4   343.6   160.7   216.0   231.4   390.2   457.5   489.3   509.8   535.9   568.5   625.1   919.1  4132.4 12248.7  18670.7    18735
read      345.3   347.1   148.8   205.6   218.3   300.6   354.5   387.6   412.8   445.1   489.6   556.7   795.4  4465.6 12521.9  86470.7    86505
read      342.6   361.9   148.8   205.9   218.8   300.3   351.6   382.8   405.9   435.8   476.9   543.1   742.9  4741.4 13072.5  93090.0    93039
read      357.4   381.1   148.8   207.0   220.0   307.4   366.0   401.7   430.3   466.7   515.6   586.3   900.4  4737.6 14747.4  76131.0    75999
read      399.6   353.9   148.8   209.3   223.1   344.8   437.8   486.2   516.5   548.6   586.3   645.3  1056.8  4083.1 12134.4  32267.2    32324
read      352.4   367.2   148.8   206.7   219.8   306.4   363.0   397.1   423.9   457.3   501.8   573.7   809.6  4606.4 13477.0  84188.4    84255
read      346.0   341.2   148.8   205.7   218.5   301.9   357.5   392.0   418.7   452.3   497.3   565.9   747.5  4084.4 11432.2  81818.0    81759
read      389.3   399.8   160.7   206.9   220.1   332.6   419.6   471.1   503.1   536.6   576.0   634.6   976.8  4306.5 13804.9  37256.1    37291
read      367.4   352.8   148.8   206.0   218.9   313.7   384.1   430.2   466.5   507.2   551.9   615.0   890.2  3992.2 13422.7  53736.8    53818
read      408.1   388.3   160.7   210.6   224.9   357.5   452.5   498.9   528.2   559.6   596.2   661.6  1018.0  4007.8 15318.5  30317.4    30297
read      395.3   281.2   160.7   208.6   222.3   348.5   443.8   490.1   518.8   548.9   585.6   641.5   935.2  3195.8  9752.4  31636.7    31569
read      388.6   307.6   148.8   207.4   220.8   336.3   423.6   475.7   509.7   543.9   583.7   641.9   923.5  3957.6  9671.1  38830.8    38927
read      414.3   325.2   160.7   232.3   256.3   399.1   441.5   465.2   483.3   504.2   536.2   589.2   823.8  3712.4 15517.1  10623.7    10652
read      347.3   368.2   148.8   206.2   219.4   303.6   355.0   386.3   409.7   439.4   481.1   548.7   854.4  4489.1 13424.7  98165.3    98119
read      434.2   565.7   160.7   208.1   222.1   335.9   426.5   487.8   531.8   582.6   659.8   860.0  1656.4  5358.4 29505.9  48095.7    48176
read      463.9   709.8   148.8   209.2   223.8   363.3   471.5   528.7   567.9   616.9   688.6   853.9  1757.8  8801.0 31081.6  34958.4    34929
read      407.1   593.5   148.8   207.7   221.4   317.0   383.8   428.4   465.3   513.1   580.8   746.0  1634.7  7036.9 30171.7  69707.1    69735
read      476.7   594.6   160.7   215.8   232.5   420.1   510.5   556.6   591.1   634.4   686.8   795.8  1649.1  7195.1 29425.1  20711.4    20753
read      355.2   369.2   148.8   206.5   219.6   305.8   361.9   396.0   422.7   456.2   501.3   573.2   890.7  4903.4 12647.0  84653.0    84642
read      442.4   597.9   160.7   208.2   222.4   346.6   445.9   505.8   547.6   596.8   671.8   844.9  1584.5  6276.2 29381.0  42277.8    42333
read      425.2   540.9   148.8   208.4   222.5   327.7   403.6   457.4   501.3   556.7   640.1   872.9  1672.3  5937.1 22365.4  61610.4    61587
read      359.5   399.3   160.7   207.1   220.3   309.4   369.0   405.2   433.9   469.2   517.2   586.6   832.9  5103.2 11910.3  78100.5    77998
read      342.3   363.2   148.8   206.1   219.1   301.3   352.1   383.1   405.8   435.5   475.8   541.6   773.1  4298.0 16749.3  97756.6    97625
read      473.1   601.3   160.7   215.1   230.9   409.1   505.3   553.3   589.1   633.5   690.5   812.8  1563.5  6138.9 30909.8  23752.6    23781
read      405.9   533.5   160.7   209.9   224.0   322.6   393.3   439.7   478.4   527.4   592.6   746.2  1503.1  5416.8 28945.3  66768.1    66723
read      469.0   560.3   160.7   212.5   227.7   387.4   500.5   555.0   593.4   641.7   712.4   865.3  1518.0  6239.1 28118.3  30951.1    31016
read      440.3   588.8   160.7   209.2   223.5   342.0   435.3   498.6   543.4   596.5   677.0   872.3  1515.2  5390.0 30900.0  47406.4    47394
read      353.0   446.7   148.8   206.2   219.2   303.5   355.9   387.5   411.4   441.9   484.7   553.4   864.7  5575.6 16043.4  95457.0    95335
read      470.9   870.2   173.5   263.8   297.9   398.7   438.5   463.4   482.2   505.3   540.1   609.2  2363.5 10365.6 32324.2   5245.1     5252
read      406.9   527.8   148.8   208.6   222.4   321.8   392.8   439.0   477.2   525.2   587.8   735.2  1591.5  5848.9 25885.3  65838.9    65908
read      427.4   430.8   160.7   221.1   238.2   406.8   471.1   501.0   521.9   544.6   577.8   633.7   941.6  5252.5 18999.6  16956.5    16889
read      384.0   331.0   148.8   207.4   220.8   329.5   411.8   464.5   500.4   537.2   578.6   637.4   967.2  3793.5 10006.8  42889.7    42912
read      345.2   369.2   148.8   206.9   220.2   305.1   356.8   387.7   410.7   439.8   479.5   543.4   740.1  4893.4 13745.5  99744.3    99898
read      418.6   431.5   160.7   212.7   227.1   369.6   461.3   501.5   527.5   555.2   590.8   657.4  1163.9  4767.8 15608.8  26292.9    26385
read      421.0   405.4   160.7   214.4   229.4   384.6   468.3   503.9   527.7   553.0   589.2   656.6  1087.9  4579.9 15470.3  22645.9    22616
read      369.4   193.5   148.8   209.4   223.5   333.2   406.5   452.6   486.3   523.1   564.6   621.9   740.1  1312.8  7755.5  50637.3    50605
read      333.2   183.3   148.8   205.8   219.1   302.6   357.8   391.0   415.4   444.9   483.9   543.2   671.8  1071.6  7977.3  90203.6    90283
read      397.2   249.1   160.7   214.7   229.9   373.4   454.9   492.9   517.4   543.6   577.8   629.0   760.9  1992.8 11641.6  26225.1    26273
read      370.8   236.7   148.8   209.5   223.7   335.3   409.2   453.7   485.9   521.1   561.0   617.8   735.4  1312.9 10358.2  48486.9    48521
read      388.3   248.1   148.8   212.6   227.4   356.9   439.8   485.0   513.9   544.4   580.2   632.0   748.8  1323.5  9299.3  34104.8    34058
read      347.2   181.4   148.8   207.6   221.2   314.2   376.9   413.7   440.6   473.1   515.5   578.1   704.5  1073.8  6833.7  75745.9    75648
read      407.4   241.1   148.8   221.1   238.2   397.1   463.1   494.7   516.1   541.0   572.8   621.2   738.8  2186.9  9450.0  19494.5    19482
read      412.1   252.5   160.7   225.9   246.2   404.3   457.7   485.0   503.2   526.5   554.1   605.2   741.0  3618.5 10793.7  15022.3    15054
read      344.1   176.1   148.8   207.0   220.6   312.2   372.7   407.8   433.9   465.9   506.9   569.4   691.8  1122.6  6258.6  75808.2    75754
read      411.9   360.3   160.7   267.9   297.0   379.7   413.0   432.9   450.6   470.6   504.0   570.7   756.8  6205.1 12110.8   5207.0     5187
read      413.6   246.5   160.7   226.1   248.2   403.0   458.7   488.0   507.9   533.6   565.5   619.4   753.0  2492.4 10571.5  17670.4    17656
read      331.7   145.9   148.8   206.5   219.8   304.4   358.1   389.9   413.3   441.2   477.8   535.0   658.7   967.3  5894.8  96188.2    96343
read      381.7   211.8   148.8   211.0   225.6   349.9   431.2   476.7   505.8   536.7   573.3   626.7   742.8  1378.3  8109.9  36630.9    36665
read      336.9   156.9   148.8   206.8   220.1   306.2   363.6   397.3   422.8   453.4   493.2   552.9   683.2  1013.2  6184.5  85311.9    85269
read      389.0   241.4   148.8   212.8   227.8   360.2   443.1   485.9   512.3   541.2   576.6   627.6   743.7  1650.4 12075.5  31513.3    31525
read      357.3   192.6   148.8   208.2   222.1   322.5   391.2   430.3   460.2   495.2   537.8   595.7   719.9  1159.8  7639.7  61598.2    61798
read      413.1   236.4   148.8   233.0   256.9   405.3   451.9   475.9   494.8   516.1   545.7   597.6   738.7  2784.1 12286.5  12235.4    12253
read      406.1   240.6   160.7   219.6   236.4   387.0   457.5   493.3   517.3   544.9   581.3   635.9   782.4  2507.2  9704.9  25772.9    25710
read      344.3   156.4   148.8   208.1   221.9   313.6   372.5   407.4   433.8   466.3   507.4   572.4   693.3  1010.8  5651.0  79984.6    79937
read      429.1   340.7   173.5   260.3   293.3   402.9   441.2   464.6   483.1   505.5   540.6   602.0   780.3  6457.5 12520.3   7307.6     7271
read      342.9   168.5   148.8   209.0   223.0   312.6   369.7   403.0   428.7   459.6   499.8   563.2   691.3  1021.9  6114.7  85790.2    85861
read      336.1   163.4   148.8   207.2   220.8   306.5   361.5   394.7   419.6   449.4   488.3   547.0   675.2  1039.6  6280.6  91395.4    91467
read      348.6   190.2   148.8   207.8   221.6   313.9   376.4   414.5   443.3   478.3   521.9   583.6   705.0  1058.2  7848.1  72139.0    72217
read      390.6   242.7   148.8   213.2   228.1   360.7   445.6   488.2   514.7   542.5   577.8   629.5   740.9  1414.9 10245.4  31090.2    31080
read      345.5   174.6   148.8   207.7   221.3   312.1   372.9   408.9   435.9   469.4   512.2   577.0   705.6  1172.9  7641.1  77133.0    76878
read      340.9   203.6   148.8   207.2   220.8   309.3   367.6   401.8   427.8   459.1   499.3   561.0   688.9  1043.8  8036.8  84414.0    84584
read      416.3   260.2   148.8   233.5   257.3   408.6   455.6   480.2   497.8   518.7   546.3   598.9   736.3  3149.2 12311.2  12424.0    12492
read      365.6   198.4   148.8   210.2   224.6   332.2   402.2   443.0   473.9   508.9   549.8   608.3   725.5  1101.2  8137.4  57037.4    57106
read      333.0   148.3   148.8   206.9   220.4   305.9   359.5   391.3   414.8   443.0   479.9   538.3   664.2   936.4  5047.9  96350.5    96245
read      417.2   313.4   160.7   261.8   294.5   395.0   430.2   452.2   467.8   490.8   521.9   582.9   740.4  5881.0 12578.2   6822.9     6791

Total QPS = 51265.1 (61518144 / 1200.0s)

Total connections = 64
Misses = 61518145 (100.0%)
Skipped TXs = 0 (0.0%)

RX  184554435 bytes :    0.1 MB/s
TX          0 bytes :    0.0 MB/s
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 99.94%,49.00%,100.00%
