Random waveform, supplied seed
Total number of intervals = 92 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283)
Average QPS expected = 51993
Timestamp start: 1684533541770
Timestamp end: 1684534462321

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      564.5  1323.8   173.5   251.9   277.7   428.1   494.9   529.5   553.4   584.0   626.9   728.8  4138.2 28096.2 37251.0   7438.5     7434
read      392.0   461.3   160.7   216.8   229.3   326.4   392.3   438.3   478.4   529.6   591.4   675.0  1077.7  5971.3 18552.3  67117.8    67201
read      366.9   351.4   160.7   215.9   228.4   319.1   375.4   411.4   441.7   480.8   532.3   609.9   816.3  5001.2 10735.7  85760.3    85927
read      393.7   513.0   160.7   216.6   229.1   326.4   392.0   440.5   483.5   535.9   596.7   673.9   950.2  6560.3 18962.2  64087.3    63953
read      573.2  1025.0   160.7   221.0   237.1   432.0   566.4   638.8   692.7   757.1   841.8   993.9  3414.4 11857.5 32383.7  31593.1    31595
read      383.9   494.6   160.7   217.9   230.5   325.2   382.1   419.0   449.9   488.8   541.0   623.8  1063.3  6395.6 22291.5  87911.9    87879
read      554.8  1386.9   173.5   244.9   268.5   421.0   486.9   518.4   540.8   569.0   605.3   675.6  4803.9 30255.1 37005.6   7286.1     7287
read      380.7   378.0   160.7   212.2   224.8   319.3   385.2   432.8   475.0   526.9   585.6   663.2  1023.3  4454.4 12769.1  62226.5    62295
read      673.4  1888.7   173.5   262.8   289.4   454.5   531.0   572.2   601.5   635.9   684.5   775.0  7602.1 30960.7 39301.1   6550.3     6561
read      442.7   341.6   173.5   229.1   246.7   395.8   511.1   559.1   588.5   620.3   656.6   708.7   864.0  4397.9 10299.1  22494.4    22532
