Total number of intervals = 120 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791)
Average QPS expected = 51270
Timestamp start: 1684094588456
Timestamp end: 1684095789027

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      469.5   759.2   160.7   256.5   288.9   411.8   455.2   481.0   501.3   528.0   565.3   636.0  1238.1  9758.3 32410.8   7423.8     7434
read      359.0   417.4   148.8   204.4   216.2   301.6   363.8   403.5   436.1   476.5   526.7   592.1   870.9  5264.5 13560.0  67037.3    67201
read      362.4   414.5   148.8   207.0   220.2   309.7   369.3   405.8   434.6   469.8   518.3   594.8   914.7  5472.3 14239.8  85957.9    85927
read      406.8   467.8   148.8   216.3   230.6   345.3   422.7   469.3   505.3   547.4   600.2   687.8  1068.5  6231.3 17631.8  63786.7    63953
read      424.4   508.5   160.7   214.9   229.4   365.7   461.4   510.4   541.5   575.1   615.4   677.3  1051.9  6548.6 25460.9  31561.4    31595
read      347.8   305.3   160.7   207.7   221.0   308.7   365.1   398.7   424.6   456.5   499.2   566.9   746.5  3695.2 10047.7  87837.6    87879
read      627.2  1779.0   160.7   238.2   268.6   422.9   474.7   502.3   523.9   548.6   589.9   714.8  6119.1 31514.0 38651.3   7293.2     7287
read      369.0   403.3   148.8   205.4   218.0   308.9   376.0   419.7   454.8   497.5   546.5   619.2   988.4  5012.9 14331.3  62176.9    62295
read      626.0  1712.0   160.7   245.2   277.5   415.7   464.6   491.9   510.1   537.7   578.1   690.0  6606.6 30678.2 37163.7   6574.1     6561
read      512.9  1098.1   160.7   213.3   229.6   405.5   497.8   546.0   581.7   623.8   675.1   770.9  3031.0 20549.7 33833.1  22484.8    22532
read      372.0   250.7   160.7   211.4   225.4   329.6   401.3   445.2   478.5   518.3   566.6   632.4   813.0  2182.4  9288.9  60603.4    60653
