minjingshi@client-measure-2dsc:~/memcache-perf-dynamic$ ./mcperf -s 10.0.16.5 -a 10.0.16.2 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1200 --qps_interval 10 --qps_min 5000 --qps_max 100000 --qps_seed 3274 | tee res_2.txt
Random waveform, supplied seed
Total number of intervals = 120 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791)
Average QPS expected = 51270
Timestamp start: 1684341985095
Timestamp end: 1684343185530

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      562.5  1809.5   160.7   222.2   242.7   354.3   398.4   423.0   440.0   462.6   495.4   575.8  6468.2 31915.6 44076.4   7421.0     7434
read      336.5   428.7   148.8   193.9   204.6   273.6   329.2   370.3   403.3   445.5   500.4   581.8   931.9  5252.7 18357.2  67178.5    67201
read      328.8   341.0   148.8   197.5   208.3   276.4   325.8   360.3   387.6   422.3   468.5   554.0   925.3  4390.0  9980.3  85770.7    85927
read      321.9   233.7   148.8   195.1   206.0   273.7   332.7   376.8   408.9   442.9   482.6   540.5   700.8  3003.6  8108.1  63978.1    63953
read      423.6   809.4   148.8   193.6   204.7   300.7   397.5   449.6   486.1   528.3   585.1   813.2  1936.5  9467.3 31927.1  31640.0    31595
read      314.7   459.2   148.8   191.7   201.5   261.5   302.8   333.1   359.4   395.1   443.9   518.4   743.2  6863.1 18878.0  87778.9    87879
read      607.8  2021.1   160.7   219.9   239.3   347.5   391.0   413.7   429.8   451.0   481.2   602.4  7179.0 32013.2 37904.5   7327.4     7287
read      331.5   380.2   148.8   192.1   202.5   269.9   325.7   370.4   405.5   447.6   497.6   568.1   874.2  4514.9 12910.9  62122.2    62295
read      374.4   600.8   160.7   236.4   256.4   340.2   368.3   384.4   395.9   409.6   430.1   467.4   789.3  7658.2 33128.1   6535.8     6561
read      366.9   253.3   148.8   210.2   225.3   348.1   405.1   432.0   450.4   469.4   497.6   540.9   685.4  3402.4  9384.7  22464.3    22532
