minjingshi@client-measure-2dsc:~/memcache-perf-dynamic$ ./mcperf -s 10.0.16.5 -a 10.0.16.2 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1200 --qps_interval 10 --qps_min 5000 --qps_max 100000 --qps_seed 3274 | tee res_2.txt
Random waveform, supplied seed
Total number of intervals = 120 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791)
Average QPS expected = 51270
Timestamp start: 1684343279185
Timestamp end: 1684344479650

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      539.6  1593.3   160.7   224.0   245.6   361.1   403.3   427.7   445.4   466.3   499.5   582.3  5799.9 31286.3 40149.3   7437.1     7434
read      348.4   631.1   148.8   196.1   207.0   281.5   340.2   382.1   416.0   458.9   515.6   603.1  1009.5  5118.0 16288.4  66972.0    67201
read      326.2   363.0   148.8   197.7   208.4   274.3   320.9   355.4   383.8   419.6   465.2   543.8   880.9  4342.0 11668.4  85844.4    85927
read      326.1   269.8   148.8   196.0   206.8   275.2   335.2   380.4   413.5   449.0   489.9   547.0   722.4  3002.4  9934.7  64029.1    63953
read      425.7   782.9   148.8   196.3   207.9   308.5   406.0   458.7   494.9   536.0   594.2   828.2  1626.7  9685.5 32199.5  31639.4    31595
read      318.2   436.0   148.8   193.0   203.3   264.2   306.8   338.2   366.0   402.6   454.0   533.7   812.9  5756.9 20032.3  87915.9    87879
read      601.8  1904.5   160.7   221.8   242.6   366.1   412.5   435.8   454.8   475.7   508.8   644.8  6745.3 31731.7 41660.0   7318.7     7287
read      335.8   385.1   148.8   192.7   203.1   270.8   328.2   374.3   411.3   454.0   505.1   578.7   960.3  4757.2 10986.6  62273.7    62295
read      395.6   740.7   160.7   242.7   265.0   347.6   375.8   392.7   403.2   419.6   436.9   474.4  1111.4  8620.3 35816.3   6526.5     6561
read      371.9   274.7   148.8   210.5   225.4   351.2   412.5   441.0   459.8   481.3   507.9   548.8   715.4  3799.5  9867.3  22570.0    22532
read      329.0   281.8   148.8   197.5   208.3   279.4   342.1   388.7   421.3   456.4   498.1   556.6   724.4  2647.4  8829.4  60610.5    60653
read      330.1   251.1   148.8   197.9   208.7   281.1   344.7   392.3   425.4   460.8   502.6   562.1   727.9  2476.2  9096.3  59037.4    59076
read      332.8   218.5   148.8   198.6   209.3   283.6   347.7   394.6   427.4   463.1   506.1   571.9   775.0  2370.5  7346.4  60121.5    60154
read      366.9   304.1   160.7   205.8   219.0   339.4   411.5   442.5   462.9   486.6   514.7   557.7   715.1  4035.1 10008.4  22966.2    22964
read      371.9   300.4   160.7   232.1   254.0   355.4   389.2   406.3   420.5   434.7   457.0   493.0   669.7  4204.6 12160.4   8105.9     8172
read      377.3   369.3   160.7   203.3   214.9   329.5   413.7   454.0   480.6   509.4   543.9   597.4   874.8  4353.5 10650.5  27638.2    27652
read      359.6   306.0   148.8   198.3   209.5   299.4   387.3   434.9   467.3   503.7   543.9   606.9   847.6  4093.9  9734.3  37512.0    37594
read      372.1   297.3   148.8   204.9   217.3   336.3   417.6   453.6   477.7   504.7   536.8   586.9   794.4  3040.6 10522.0  24359.9    24367
read      363.1   267.0   148.8   200.5   211.6   308.8   399.6   444.8   475.6   509.0   546.4   610.9   827.5  3583.3  7950.7  33814.0    33771
read      322.9   299.0   148.8   196.1   206.7   273.2   319.6   352.6   380.6   418.2   469.1   550.0   845.7  3938.7  8692.7  85145.3    84944
read      324.3   348.3   148.8   196.2   206.7   272.7   318.8   351.5   379.2   416.5   467.0   545.5   840.1  4607.7 10763.8  85658.2    85666
read      357.7   415.3   148.8   198.4   209.5   289.9   359.9   409.3   445.9   488.4   538.0   613.8  1069.4  4643.5 16325.7  51872.1    51918
read      363.0   341.9   148.8   198.8   210.1   306.1   396.1   442.8   473.6   506.9   544.3   601.8   841.0  3528.9 12586.7  34408.1    34406
read      370.7   363.7   148.8   202.8   214.0   319.5   408.0   448.4   474.7   504.3   538.8   590.4   833.0  4455.7 11204.6  28703.5    28664
read      356.4   376.7   148.8   200.4   211.5   300.8   385.2   430.6   459.2   490.8   528.5   584.5   790.6  3830.2 12865.6  38262.4    38289
read      372.4   305.0   148.8   203.5   215.3   344.3   416.9   449.4   469.9   494.6   524.5   572.7   822.9  3788.8 10120.1  20750.3    20658
read      369.2   289.1   160.7   210.5   225.0   357.4   406.3   429.3   445.1   462.7   486.6   524.7   704.4  3180.6 11424.8  13809.3    13840
read      316.3   355.4   148.8   194.0   204.5   267.9   311.1   341.3   367.4   401.4   451.3   532.6   798.6  4633.6 11903.3  93314.8    93419
read      307.0   316.8   148.8   192.8   203.1   263.5   303.0   330.1   352.7   384.3   430.3   505.0   738.6  4354.8 10068.3  98377.2    98284
read      325.0   309.2   148.8   194.4   205.0   271.5   323.1   363.9   397.2   438.2   491.5   564.6   784.8  4085.6  9907.9  71178.0    71313
read      355.7   402.4   148.8   196.0   207.2   292.2   374.0   422.4   455.8   492.6   534.9   594.9   844.3  4312.9 12632.8  42071.0    42089
read      340.2   248.1   148.8   194.1   205.0   282.3   356.7   407.3   442.2   480.9   524.8   585.5   803.9  3242.8  8261.3  46497.3    46458
read      356.9   342.6   148.8   196.3   207.6   303.7   392.2   433.6   460.8   490.6   525.2   576.8   820.6  3728.5 12459.2  30727.3    30755
read      363.6   409.4   148.8   195.3   206.3   289.6   372.2   422.6   456.7   495.1   539.8   614.1  1465.7  4412.6 12553.1  42653.7    42889
read      306.8   311.3   148.8   192.7   203.0   262.7   303.2   331.9   356.4   390.4   437.1   511.0   731.0  4274.2 10589.9  93427.9    93552
read      339.0   342.9   148.8   194.5   205.1   272.6   329.2   373.9   410.1   453.7   506.9   586.9  1147.3  4490.8  8994.5  65835.5    65694
read      358.5   366.2   148.8   197.0   208.3   306.9   394.9   436.1   462.2   491.4   526.0   578.6   785.4  3726.5 12537.3  29538.3    29574
read      346.0   356.6   148.8   194.9   205.8   280.9   349.9   399.8   435.1   475.3   523.6   592.1   973.2  4253.0 10350.2  51340.5    51355
read      329.4   317.5   148.8   194.4   205.0   272.9   328.0   370.4   404.4   446.5   497.8   572.5   819.9  4171.2 10738.1  67301.9    67361
read      374.5   337.3   160.7   210.5   225.0   358.1   411.6   436.4   454.3   472.3   499.2   540.0   742.7  3991.9 14154.3  16264.4    16287
read      321.2   309.7   148.8   195.0   205.8   270.1   316.4   351.2   381.2   420.3   471.0   547.9   822.1  4127.9 12048.4  81423.9    81508
read      312.6   286.3   148.8   193.9   204.4   266.1   309.3   340.6   368.0   403.7   454.3   530.1   782.4  3851.8  9834.3  87436.9    87619
read      308.3   316.7   148.8   193.7   204.0   264.7   304.7   332.5   355.9   388.2   433.4   509.0   747.3  4369.9  9487.6  99108.5    99068
read      350.4   405.2   148.8   194.9   205.7   282.1   351.4   401.2   436.9   477.9   526.9   595.3  1001.8  4692.3 12745.1  51427.9    51267
read      367.0   330.9   160.7   215.2   230.9   351.9   394.5   415.5   429.2   445.8   466.2   503.1   691.9  4129.6 14598.2  11836.7    11822
read      313.5   343.7   148.8   193.8   204.2   266.7   308.1   336.6   360.8   393.5   440.0   521.2   826.8  4472.7 12391.0  97585.9    97494
read      307.2   285.6   148.8   193.6   203.9   264.7   304.8   332.5   355.9   388.4   434.4   509.8   777.0  3906.6  8411.2  97328.9    97350
read      350.8   426.3   148.8   194.7   205.5   278.9   345.3   394.0   429.8   470.3   521.2   595.2  1219.2  4995.0 13107.1  55222.7    55460
read      318.3   301.0   148.8   194.6   205.1   269.2   314.8   347.4   375.8   413.3   463.4   542.0   811.5  3970.2  9166.4  85907.2    85984
read      317.9   294.1   148.8   193.9   204.4   268.6   315.0   348.8   378.4   416.9   467.3   543.8   804.9  3980.8  8814.4  81794.1    82043
read      348.5   435.1   148.8   195.4   206.2   281.3   348.0   396.7   431.9   472.2   521.5   590.1   965.0  4838.9 12707.2  52872.4    52873
read      370.2   357.1   160.7   210.4   225.1   355.6   403.8   426.3   441.4   459.3   481.4   517.7   713.3  4303.2 19058.5  13893.4    13911
read      348.0   354.9   148.8   196.4   207.4   286.2   356.6   405.7   440.5   480.3   528.2   594.8   882.5  3900.7 10183.4  50007.5    49984
read      363.3   358.9   160.7   224.3   242.5   347.3   382.9   400.2   413.3   428.2   447.9   480.0   625.0  5140.8 12889.4   9248.3     9274
read      368.8   322.5   148.8   203.9   215.9   327.9   403.7   441.2   465.9   494.9   529.8   583.1   806.2  3725.2 12204.9  27173.4    27187
read      369.4   296.7   148.8   205.4   218.8   350.7   413.4   441.1   459.4   480.3   506.3   546.5   734.4  3620.0 10851.5  18622.3    18735
read      316.8   297.3   148.8   194.4   204.9   268.4   313.0   344.8   372.9   409.6   460.1   538.5   819.9  3941.0  8773.6  86617.9    86505
read      313.6   310.7   148.8   193.9   204.4   266.7   309.4   339.0   364.7   399.0   448.2   528.0   823.1  4256.2 11069.5  93081.4    93039
