2023-05-17T16:46:26.914479 start scheduler
2023-05-17T16:46:26.914527 start memcached [0,1] 2
2023-05-17T16:46:27.151150 start radix [2,3] 2
2023-05-17T16:46:27.402462 start dedup [1] 1
2023-05-17T16:46:35.735249 pause dedup
2023-05-17T16:46:57.283175 end radix
2023-05-17T16:46:57.569862 start blackscholes [2,3] 2
2023-05-17T16:47:05.715160 unpause dedup
2023-05-17T16:47:15.749279 pause dedup
2023-05-17T16:47:25.731232 unpause dedup
2023-05-17T16:47:35.721160 pause dedup
2023-05-17T16:47:45.676291 unpause dedup
2023-05-17T16:47:48.961494 end dedup
2023-05-17T16:47:49.005952 update_cores blackscholes [1,2,3]
2023-05-17T16:47:58.151006 end blackscholes
2023-05-17T16:47:58.379802 start canneal [2,3] 2
2023-05-17T16:48:05.806727 update_cores canneal [2,3]
2023-05-17T16:48:35.685974 update_cores canneal [1,2,3]
2023-05-17T16:49:35.778714 update_cores canneal [2,3]
2023-05-17T16:49:55.966875 update_cores canneal [1,2,3]
2023-05-17T16:49:56.845901 update_cores canneal [2,3]
2023-05-17T16:49:57.713460 update_cores canneal [1,2,3]
2023-05-17T16:49:58.166109 update_cores canneal [2,3]
2023-05-17T16:49:58.410502 update_cores canneal [1,2,3]
2023-05-17T16:49:59.480596 update_cores canneal [2,3]
2023-05-17T16:50:00.145662 update_cores canneal [1,2,3]
2023-05-17T16:50:00.392665 update_cores canneal [2,3]
2023-05-17T16:50:01.046512 update_cores canneal [1,2,3]
2023-05-17T16:50:01.707064 update_cores canneal [2,3]
2023-05-17T16:50:02.161403 update_cores canneal [1,2,3]
2023-05-17T16:50:02.621306 update_cores canneal [2,3]
2023-05-17T16:50:03.485514 update_cores canneal [1,2,3]
2023-05-17T16:50:03.938179 update_cores canneal [2,3]
2023-05-17T16:50:04.186733 update_cores canneal [1,2,3]
2023-05-17T16:50:05.046563 update_cores canneal [2,3]
2023-05-17T16:50:05.294845 update_cores canneal [1,2,3]
2023-05-17T16:50:29.313426 end canneal
2023-05-17T16:50:29.569946 start freqmine [2,3] 2
