minjingshi@client-measure-2dsc:~/memcache-perf-dynamic$ ./mcperf -s 10.0.16.5 -a 10.0.16.2 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1200 --qps_interval 10 --qps_min 5000 --qps_max 100000 --qps_seed 3274
Random waveform, supplied seed
Total number of intervals = 120 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791)
Average QPS expected = 51270
Timestamp start: 1684339213021
Timestamp end: 1684340413445

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      547.4  1552.7   160.7   224.2   245.9   367.1   413.0   440.3   459.8   483.1   514.5   593.5  6473.0 30760.8 37309.9   7457.6     7434
read      368.6   491.1   148.8   198.6   209.9   290.8   353.0   397.6   434.3   478.7   537.2   638.3  1386.1  7113.1 18219.9  67163.3    67201
read      348.9   456.3   148.8   199.7   210.7   281.7   331.7   368.0   398.0   436.7   488.9   584.0  1259.4  5150.8 14595.5  85786.8    85927
read      335.6   243.0   148.8   198.0   209.0   282.5   344.5   391.5   426.9   464.8   507.5   575.5   789.3  3075.6  7939.5  63973.2    63953
read      405.6   696.3   148.8   201.1   212.2   313.0   406.1   455.2   486.3   520.7   566.0   658.4  1648.1  8274.5 31900.4  31660.7    31595
read      338.7   476.8   148.8   194.7   205.6   273.3   319.7   352.6   379.6   417.2   469.1   551.1  1087.1  5928.7 23911.5  87935.0    87879
read      661.9  2110.0   160.7   222.8   244.3   366.8   414.4   442.0   461.1   485.1   521.0   686.1  7992.1 31935.4 41934.0   7237.5     7287
read      347.8   432.2   148.8   195.4   206.6   282.3   343.8   389.4   426.0   468.9   519.9   595.3   949.3  4984.9 16765.3  62294.0    62295
read      420.2   856.5   160.7   238.6   263.7   354.9   386.3   403.6   420.2   437.7   466.4   521.2  1393.6  8676.5 32295.4   6519.5     6561
read      384.1   386.7   160.7   211.5   226.3   356.8   423.0   454.7   474.9   498.5   528.6   578.4   798.0  4247.1 12843.8  22580.9    22532
read      338.8   226.0   148.8   201.3   212.2   289.5   355.5   401.8   436.7   473.4   516.2   580.6   750.3  2863.0  7276.4  60654.3    60653
read      341.4   241.6   148.8   202.4   213.5   291.7   357.7   404.9   440.6   477.3   520.7   584.0   748.0  2581.5  9188.0  59081.8    59076
read      337.9   223.3   148.8   200.2   211.1   287.6   353.7   401.7   437.9   475.4   518.4   582.4   745.8  2818.3  6611.4  60127.6    60154
read      377.2   320.8   148.8   208.9   223.0   349.6   425.7   459.1   480.3   503.1   532.8   578.3   731.7  3745.3  9492.0  23012.5    22964
read      383.9   383.7   160.7   233.1   255.2   361.5   397.8   418.9   433.7   453.2   476.1   519.0   729.3  4941.3 14961.9   8184.8     8172
read      385.3   355.0   148.8   204.9   218.1   335.7   422.1   465.0   492.6   523.0   560.9   626.6   927.4  4222.9 12625.5  27566.4    27652
read      363.0   322.5   148.8   200.8   212.0   303.2   388.9   439.6   472.3   507.0   547.4   613.8   850.3  3469.6 12331.6  37654.5    37594
read      379.6   367.2   148.8   203.2   214.9   333.8   421.3   461.3   486.3   512.6   544.9   598.2   868.9  4288.5 12866.8  24409.6    24367
read      370.3   347.7   148.8   201.4   212.6   309.9   401.0   450.7   481.3   513.8   552.9   619.9   895.9  4086.0 10447.9  33811.8    33771
read      344.7   374.3   148.8   199.2   210.3   286.3   338.1   372.5   401.2   441.3   495.9   587.5  1030.2  4451.8 12070.8  84965.3    84944
read      346.8   394.0   148.8   198.4   209.7   285.1   337.3   372.1   401.1   441.4   496.1   588.1  1091.3  4481.0 12775.0  85531.6    85666
read      371.9   410.9   148.8   200.9   212.2   297.6   372.0   424.4   462.7   504.5   553.1   637.7  1216.0  5346.9 10199.2  51912.9    51918
read      369.9   395.5   148.8   200.8   212.0   308.5   398.9   449.1   480.5   513.6   552.6   621.1   916.1  3892.9 10234.3  34443.7    34406
read      373.2   336.6   160.7   201.8   213.0   318.4   408.3   453.8   481.3   510.4   547.2   610.3   903.0  4181.5 12172.7  28758.2    28664
read      357.9   278.7   148.8   201.5   212.6   304.5   389.8   437.3   467.6   499.5   538.0   597.7   815.9  3060.2  9755.2  38352.8    38289
read      384.9   361.6   148.8   205.6   219.0   353.6   427.3   460.7   482.4   505.5   536.5   585.7   905.0  4856.0 13581.0  20712.5    20658
read      378.1   278.8   160.7   211.1   226.1   366.9   417.8   444.0   460.4   479.0   502.9   542.9   760.1  3889.3 12455.3  13888.2    13840
read      323.0   347.3   148.8   195.2   206.1   274.1   318.7   349.0   374.2   409.1   460.6   539.9   822.0  4245.7 11656.6  93390.0    93419
read      324.9   358.9   148.8   195.5   206.6   275.9   319.9   349.0   372.9   405.3   455.8   537.6   859.1  4499.1 10646.4  98285.4    98284
read      341.8   315.8   148.8   197.3   208.6   286.1   342.9   384.5   419.2   463.2   516.5   595.3   904.9  4109.4  8762.2  71431.0    71313
read      364.6   355.3   148.8   197.7   209.2   297.4   383.1   436.6   471.5   508.7   552.3   626.6   944.1  4260.5 12485.7  42138.5    42089
read      361.1   398.5   148.8   196.9   208.4   293.6   372.0   423.9   461.2   500.4   546.4   622.3   992.4  4357.4 12042.1  46479.7    46458
read      372.9   349.6   148.8   198.5   210.3   313.0   405.1   452.0   480.7   511.0   547.6   613.7  1088.7  3911.0 12717.9  30757.3    30755
read      356.5   318.1   148.8   196.4   207.8   293.0   374.5   426.7   462.1   499.2   542.0   611.8   900.2  4009.5  8736.4  42810.3    42889
read      330.0   335.9   148.8   195.9   207.0   278.2   325.3   357.3   383.8   420.6   471.7   560.2   932.2  4326.9 11342.6  93525.7    93552
read      336.7   312.3   148.8   195.6   206.8   280.6   338.0   381.7   417.5   461.1   511.1   583.9   842.3  4100.9  8629.5  65678.3    65694
read      362.6   278.0   148.8   198.0   209.5   310.8   401.5   446.9   474.3   503.3   538.8   593.6   833.7  3397.3  9838.1  29648.9    29574
read      358.6   408.2   148.8   196.2   207.6   288.7   361.1   410.9   449.0   489.5   537.3   616.0  1130.3  4552.0 10957.7  51422.5    51355
read      340.1   315.6   148.8   195.5   206.7   282.2   340.2   383.6   419.7   463.6   514.7   591.0   924.6  3997.7 10637.2  67290.0    67361
read      376.0   352.4   160.7   207.3   221.4   357.1   415.4   444.5   462.3   483.2   507.8   549.0   775.6  3716.6 14417.6  16320.7    16287
read      326.6   339.3   148.8   195.4   206.4   275.9   324.7   359.2   387.6   426.1   477.6   550.2   806.0  4320.7 10166.8  81496.4    81508
read      328.0   348.4   148.8   195.1   206.3   277.0   324.1   356.9   383.9   420.8   471.2   549.7   847.7  4477.5 10488.8  87688.2    87619
read      322.0   322.0   148.8   196.0   207.2   276.1   319.2   347.8   371.6   403.4   453.1   531.3   806.6  4386.9  8482.4  99023.1    99068
read      365.3   448.6   148.8   197.3   208.8   291.8   366.2   418.1   456.7   497.6   545.5   626.7  1203.3  5162.1 16237.3  51382.8    51267
read      390.1   540.2   160.7   215.6   231.9   363.5   406.5   430.7   447.4   465.2   490.7   534.4   867.6  6726.6 30849.3  11818.8    11822
read      325.0   354.3   148.8   195.3   206.4   275.1   319.7   349.1   373.0   405.5   456.4   538.1   878.6  4473.6 11141.5  97383.2    97494
read      321.2   317.4   148.8   195.0   206.0   274.5   318.4   346.9   371.3   403.3   454.0   533.9   821.7  4154.0  9205.2  97329.1    97350
read      363.0   473.6   148.8   197.3   208.7   289.6   357.3   405.0   444.2   487.3   538.2   622.3  1173.3  5933.5 21729.2  55495.5    55460
read      328.1   321.5   148.8   195.0   206.1   276.7   325.8   360.2   388.8   427.5   479.8   565.2   888.9  4093.3  8619.3  85988.5    85984
read      332.6   328.5   148.8   195.5   206.6   278.3   329.2   365.3   395.3   435.5   489.6   574.0   927.5  4211.4 11426.9  82015.5    82043
read      372.3   459.1   148.8   198.0   209.6   294.6   367.7   418.6   457.2   500.1   551.1   639.9  1326.0  5726.3 13760.6  52912.0    52873
read      384.3   415.8   160.7   212.4   227.7   361.0   409.6   435.4   453.1   470.9   498.0   541.9   812.4  5924.4 14629.6  13901.6    13911
read      351.1   313.2   148.8   196.7   208.1   289.9   362.5   411.4   448.6   488.3   533.5   602.6   912.5  4049.0  9745.1  50043.3    49984
read      380.7   411.0   160.7   224.3   244.6   357.6   394.6   414.9   429.7   447.9   469.5   509.1   756.6  5834.8 13834.3   9333.3     9274
read      373.1   359.6   148.8   202.2   214.2   328.6   407.6   449.7   475.6   502.6   536.0   588.8   852.3  3787.5 13918.9  27087.6    27187
read      372.2   358.1   160.7   204.1   216.6   347.8   410.4   441.7   460.7   482.0   506.3   548.0   863.8  4355.1 14278.5  18704.8    18735
read      325.1   322.0   148.8   194.2   205.1   273.7   321.1   354.3   382.2   421.1   472.7   552.1   878.6  4329.0  9676.8  86449.6    86505
read      322.5   304.5   148.8   194.2   205.1   273.4   318.8   349.1   374.5   410.5   462.4   543.9   903.8  4069.6  9552.3  93071.6    93039
read      330.2   282.5   148.8   195.2   206.4   278.4   330.5   368.7   400.1   441.8   493.3   570.1   870.4  3738.7  8760.3  76027.1    75999
