Random waveform, supplied seed
Total number of intervals = 1000 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289$
Average QPS expected = 51604
Timestamp start: 1684520016986
Timestamp end: 1684521017880

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      465.5   550.0   187.4   256.1   283.1   418.0   469.6   496.1   513.7   535.8   565.8   627.1   887.8  9451.8 15398.0   7237.0     7434
read      377.8   228.7   173.5   221.2   235.3   337.5   400.1   443.2   475.8   517.5   569.0   639.7   797.9  2661.1  9026.6  66639.0    67201
read      359.7   735.5   160.7   217.5   229.8   320.5   376.2   412.4   441.4   477.9   526.6   594.3   743.3  1973.4 11411.3  86184.0    85927
read      437.9   566.3   160.7   222.8   237.7   346.9   424.3   480.6   523.8   574.5   637.2   752.1  1977.3  4936.7 25168.1  63608.0    63953
read      557.5  1143.2   173.5   219.1   232.8   376.9   505.3   569.1   614.7   676.1   775.0   988.5  4198.5 13770.8 35885.1  31898.0    31595
read      423.8   790.5   160.7   215.2   228.2   322.5   372.6   403.7   432.5   471.4   529.2   625.8  3268.1  9486.1 31135.7  87633.0    87879
read      543.2  1257.5   187.4   238.1   260.1   409.1   479.7   514.0   539.3   567.6   601.5   678.2  4429.0 21911.6 37255.0   7273.0     7287
read      457.1   714.6   173.5   219.2   232.2   349.5   431.1   489.8   535.4   593.8   676.3   857.0  1658.0  8743.9 31081.5  61919.0    62295
read      581.5  1622.1   173.5   243.3   266.5   416.6   480.8   507.4   528.0   549.1   584.9   666.3  5551.5 31151.3 34272.9   6559.0     6561
read      558.5  1130.0   173.5   219.6   236.7   424.3   540.7   601.2   642.0   691.0   748.1   874.9  4540.7 12170.3 38733.7  22117.0    22532
read      446.2   888.4   160.7   214.6   227.4   329.7   400.3   459.5   508.0   564.2   631.8   758.6  1673.4 12177.7 36504.4  60573.0    60653
read      403.7   569.4   173.5   214.4   226.9   321.7   389.0   439.9   484.3   534.8   589.6   664.8  1536.6  6116.8 30496.6  58914.0    59076
read      382.6   314.5   160.7   214.8   227.1   323.2   391.0   442.9   487.5   540.0   597.6   666.2   864.6  4911.0 12912.5  60035.0    60154
read      573.7  1331.4   173.5   219.9   235.7   412.6   527.2   586.2   630.3   677.7   735.2   844.1  4943.5 28075.2 43405.8  22572.0    22964
