Random waveform, supplied seed
Total number of intervals = 367 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227, 37496, 83925, 51037, 33690, 51474, 73708, 98618, 81977, 91567, 48236, 91726, 52458, 70467, 71151, 65016, 42057, 78821, 60720, 39911, 10628, 73736, 7334, 91868, 76670, 10405, 26019, 55530, 29615, 66057, 55281, 21177, 88239, 70227, 23421, 97104, 6235, 58045, 23729, 40897, 53312, 87262, 81836, 92274, 47252, 75747, 80994, 98224, 7737, 37514, 10640, 90490, 92514, 89245, 73823, 46565, 21419, 66915, 31667, 72255, 99535, 9226, 67844, 71413, 97328, 55113, 53743, 15253, 90605, 25767, 93458, 95080, 88399, 95681, 33003, 98809, 64610, 51183, 20194, 7602, 46677, 5577, 23035, 57516, 62851, 38431, 25729, 19443, 19461, 42341, 5691, 40223, 29941, 41162, 43863, 20318, 93421, 48578, 40595, 17677, 78948, 9703, 9686, 7968, 15830, 8192, 79410, 76582, 54634, 72177, 15101, 8167, 44130, 53047, 97171, 81360, 77277, 38294, 11165, 74155, 12255, 52404, 17057, 6005, 85707, 79742, 58322, 26212, 69487, 29507, 51412, 67374, 55125, 53048, 12192, 36138, 60799, 36368, 39729, 95693, 40999, 65037, 12633, 50117, 62765, 12379, 49369, 39111, 52692, 24539, 61591, 47864, 16479, 75268, 8714, 13002, 77147, 43518, 27206, 55859, 37448, 45026, 99974, 64632, 49061, 80418, 16471, 35694, 13935, 79838, 48842, 17708, 31401, 62091, 87121, 81929, 42013, 90709, 67578, 58116, 68886, 93119, 95079, 77456, 15723, 9867, 8176, 89745)
Average QPS expected = 50434
Timestamp start: 1684502258839
Timestamp end: 1684503359352

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      450.8   450.9   173.5   264.0   290.2   417.9   463.7   492.0   513.1   543.4   585.2   655.9   886.8  5492.0 12892.1   7410.3     7434
read      386.1   213.4   160.7   226.1   241.6   348.4   413.4   452.2   481.1   519.8   572.7   649.2   849.7  1578.6  8961.3  66757.7    67201
read      575.4   959.8   173.5   235.7   255.4   399.9   483.6   541.9   591.1   669.3   828.7  1304.3  4295.2  9654.7 31882.3  85966.3    85927
read      487.8   718.5   160.7   232.4   250.5   383.1   464.5   519.1   563.4   620.3   711.3   947.3  2139.3  7176.3 31697.9  63912.7    63953
read      441.9   401.8   173.5   226.8   242.3   373.2   471.2   523.6   558.4   596.9   650.5   779.5  1368.9  4156.3 15269.1  31640.0    31595
read      392.0   453.3   173.5   223.6   238.1   335.1   393.2   429.3   457.6   495.0   547.4   641.2  1141.6  5269.8 19921.1  87928.3    87879
read      559.0  1326.8   187.4   247.7   273.0   408.2   462.6   495.8   523.0   559.4   608.9   722.7  4693.7 30295.4 36719.4   7217.3     7287
read      431.3   521.3   173.5   224.9   239.8   352.1   425.8   473.1   513.0   563.2   629.8   767.2  1503.1  6343.2 26170.0  62199.7    62295
read      578.7  1506.6   173.5   255.8   279.3   411.3   465.2   495.3   518.1   549.2   593.2   702.9  5100.9 30349.4 36595.7   6513.7     6561
read      805.2  1992.5   173.5   243.9   267.2   507.1   656.5   750.8   832.9   933.3  1061.2  1298.2  9626.8 31291.9 38287.5  22561.7    22532
read      523.8   725.5   173.5   243.4   263.4   421.1   521.0   584.2   631.9   694.7   790.1   968.4  1814.6  9740.1 31418.5  60484.7    60653
read      453.1   562.2   173.5   230.0   246.7   380.2   463.8   516.9   558.8   607.5   673.6   793.4  1272.5  7241.2 31097.8  58990.7    59076
read      406.1   314.7   160.7   227.7   243.5   358.3   429.2   471.7   506.1   549.6   606.1   692.3  1011.4  2738.3 15654.6  60144.0    60154
read      483.5   361.3   173.5   241.6   261.5   429.6   521.1   571.0   604.5   644.3   704.4   853.2  1410.9  4291.8 12604.1  23032.0    22964
read      488.6   488.0   187.4   263.9   291.6   439.7   495.5   529.5   554.9   588.7   635.8   731.2  1557.6  8998.4 15991.0   8211.0     8172
read      474.2   344.9   173.5   244.4   264.7   425.2   514.1   567.2   602.1   639.7   692.1   793.2  1141.4  4495.1 11668.9  27758.7    27652
read      446.3   324.5   173.5   236.2   253.3   391.1   478.4   534.7   575.5   620.2   676.1   771.9  1090.4  4218.0 12601.2  37672.7    37594
read      457.4   529.1   173.5   236.7   254.0   400.8   498.0   550.1   582.2   617.6   660.9   733.2  1165.5  5711.7 30790.9  24389.3    24367
read      445.8   340.4   160.7   234.2   250.7   388.9   484.7   544.4   583.4   625.1   676.9   763.9  1017.0  4357.3 12583.2  33907.0    33771
read      396.6   344.8   160.7   225.5   240.6   343.5   405.7   446.1   476.7   518.7   576.6   678.4  1114.5  4011.6 12208.2  84655.0    84944
read      390.3   429.0   160.7   223.1   237.1   332.4   391.1   428.7   459.1   498.8   556.4   661.7  1149.3  5576.8 13318.7  85534.3    85666
