Random waveform, supplied seed
Total number of intervals = 200 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227, 37496, 83925, 51037, 33690, 51474, 73708, 98618, 81977, 91567, 48236, 91726, 52458, 70467, 71151, 65016, 42057, 78821, 60720, 39911, 10628)
Average QPS expected = 50559
Timestamp start: 1684525109178
Timestamp end: 1684526109604

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      429.6   333.5   173.5   256.6   281.0   408.5   461.5   489.8   508.2   531.6   559.6   609.0   724.1  5076.3 15633.7   7394.2     7434
read      491.0   942.5   160.7   221.9   237.1   351.9   426.3   480.0   523.6   577.0   645.7   831.0  3356.8 10943.2 34289.3  67075.8    67201
read      358.4   329.6   160.7   213.2   225.3   307.6   360.4   395.1   425.4   466.2   522.0   605.6   898.0  4511.0 11222.8  85636.2    85927
read      375.1   406.1   160.7   212.5   224.7   313.8   374.6   420.5   463.3   518.3   579.7   653.9   869.8  4846.7 12808.8  64055.0    63953
read      562.2  1098.5   160.7   219.0   233.4   406.1   530.4   602.7   658.3   723.6   802.0   963.8  4621.4 11858.2 33882.9  31733.8    31595
read      360.3   424.2   160.7   211.9   223.8   304.1   355.7   389.3   417.6   457.6   511.7   593.9  1042.9  5106.7 18993.5  87727.6    87879
read      974.0  3087.8   187.4   258.6   285.0   495.4   585.2   631.0   665.1   707.3   777.2  1272.6 14190.4 36423.1 46236.6   7261.6     7287
read      431.4   645.3   160.7   219.1   231.8   339.9   415.3   471.4   517.3   571.1   634.3   741.1  1843.4  8571.2 31102.2  62136.4    62295
read      450.3   504.6   173.5   260.5   284.5   404.6   459.6   488.6   507.5   533.6   567.5   626.0  1133.4  8819.1 14964.1   6542.6     6561
read      454.8   596.4   173.5   225.8   242.1   385.0   492.7   540.2   569.7   600.7   638.6   703.4  1683.4  6473.3 30989.8  22559.6    22532
read      380.8   276.1   160.7   218.4   230.5   328.0   397.0   448.8   491.2   541.4   598.5   670.6   821.5  2576.1  9479.0  60578.6    60653
read      378.7   261.5   160.7   217.9   230.0   327.8   396.7   449.1   493.9   544.7   601.6   671.5   804.7  1917.0  8607.2  58936.0    59076
