2023-05-17T12:26:19.357680 start scheduler
2023-05-17T12:26:19.357729 start memcached [0] 2
2023-05-17T12:26:19.577561 start radix [2,3] 2
2023-05-17T12:26:19.800722 start dedup [1] 1
2023-05-17T12:26:22.525351 pause dedup
2023-05-17T12:26:38.292504 unpause dedup
2023-05-17T12:26:39.572737 pause dedup
2023-05-17T12:26:43.253444 unpause dedup
2023-05-17T12:26:44.586265 pause dedup
2023-05-17T12:26:45.355307 end radix
2023-05-17T12:26:45.672599 start blackscholes [2,3] 2
2023-05-17T12:26:47.572795 unpause dedup
2023-05-17T12:26:52.600352 pause dedup
2023-05-17T12:26:57.594907 unpause dedup
2023-05-17T12:27:07.602711 pause dedup
2023-05-17T12:27:24.400118 unpause dedup
2023-05-17T12:27:36.010462 end dedup
2023-05-17T12:27:36.060068 update_cores blackscholes [1,2,3]
2023-05-17T12:27:44.904632 end blackscholes
2023-05-17T12:27:45.138275 start canneal [2,3] 2
2023-05-17T12:27:52.559597 update_cores canneal [2,3]
2023-05-17T12:28:02.691898 update_cores canneal [1,2,3]
2023-05-17T12:28:32.648278 update_cores canneal [2,3]
2023-05-17T12:28:47.495702 update_cores canneal [1,2,3]
2023-05-17T12:29:07.452383 update_cores canneal [2,3]
2023-05-17T12:29:12.651069 update_cores canneal [1,2,3]
2023-05-17T12:29:13.128445 update_cores canneal [2,3]
2023-05-17T12:29:13.585842 update_cores canneal [1,2,3]
2023-05-17T12:29:15.280245 update_cores canneal [2,3]
2023-05-17T12:29:15.732076 update_cores canneal [1,2,3]
2023-05-17T12:29:17.216407 update_cores canneal [2,3]
2023-05-17T12:29:17.463888 update_cores canneal [1,2,3]
2023-05-17T12:29:27.567968 update_cores canneal [2,3]
2023-05-17T12:29:27.817037 update_cores canneal [1,2,3]
2023-05-17T12:29:28.072809 update_cores canneal [2,3]
2023-05-17T12:29:28.327284 update_cores canneal [1,2,3]
2023-05-17T12:29:29.404499 update_cores canneal [2,3]
2023-05-17T12:29:29.651487 update_cores canneal [1,2,3]
2023-05-17T12:29:30.116296 update_cores canneal [2,3]
2023-05-17T12:29:30.571490 update_cores canneal [1,2,3]
