Random waveform, supplied seed
Total number of intervals = 184 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227, 37496, 83925, 51037, 33690)
Average QPS expected = 49366
Timestamp start: 1684534588944
Timestamp end: 1684535509480

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      521.1   784.5   173.5   259.5   285.4   428.8   493.8   528.0   550.4   583.2   630.8   752.2  3011.3  9586.7 31028.0   7452.8     7434
read      383.1   329.6   160.7   218.8   230.7   325.9   391.0   436.6   477.7   529.6   590.0   669.2   904.6  5018.3 11756.1  67165.4    67201
read      355.4   350.5   160.7   214.9   226.8   309.9   362.4   395.7   424.8   463.6   516.2   592.5   748.2  5077.7 12214.5  85864.4    85927
read      382.0   325.5   160.7   217.6   229.6   323.6   389.4   436.1   478.1   531.2   594.5   672.7   871.3  4582.2 11517.7  63945.8    63953
read      512.2   799.8   173.5   220.6   235.8   401.9   531.4   596.9   642.5   698.2   773.8   897.9  1755.2 10019.1 35819.3  31587.2    31595
read      383.6   507.9   160.7   216.8   229.0   319.5   373.6   408.9   440.3   481.9   539.0   629.0  1428.9  6418.0 26959.7  87790.6    87879
read      592.4  1490.1   173.5   245.0   269.0   422.1   489.7   522.7   545.9   575.6   615.9   709.7  6340.6 30723.4 42399.3   7385.8     7287
read      411.4   485.5   160.7   219.4   232.1   333.6   402.6   458.5   506.0   564.0   630.2   729.0  1406.3  6125.0 22111.7  62086.8    62295
read      622.8  1759.7   173.5   255.0   278.6   426.0   490.8   523.4   545.1   575.4   618.5   726.3  5635.7 31388.6 36120.1   6585.2     6561
read      604.8  1328.6   173.5   225.0   244.3   430.2   557.4   626.6   670.8   719.2   779.9   910.3  5274.5 22735.2 37249.8  22396.8    22532
read      397.7   451.7   160.7   217.8   230.0   325.9   395.3   449.7   495.6   549.9   613.4   693.2  1232.8  4775.0 15733.7  60890.4    60653
read      387.6   454.1   160.7   215.0   227.2   318.6   382.9   433.5   480.4   537.8   599.4   673.2   934.6  5485.5 16152.6  58975.8    59076
read      386.6   323.0   160.7   216.8   229.3   327.9   397.6   451.4   496.0   548.6   606.8   682.3   889.7  3622.4 11407.0  59971.0    60154
read      537.7  1036.2   160.7   221.5   238.6   414.7   536.4   599.3   641.6   685.0   736.4   812.9  3281.3 11796.4 32320.8  22922.6    22964
read      530.3  1284.8   173.5   239.0   261.3   417.4   486.4   518.4   540.7   566.9   597.4   663.0  3845.1 30542.5 36489.0   8180.4     8172
read      532.4   989.1   160.7   219.7   236.0   415.5   536.7   604.9   652.5   702.2   759.0   854.8  2477.4 12056.9 37225.2  27616.0    27652
read      471.5   563.7   173.5   228.1   244.4   384.6   497.7   568.7   616.8   667.2   724.0   804.6  1400.6  7744.8 26207.3  37623.8    37594
read      468.8   414.9   173.5   226.6   243.6   399.0   524.4   577.0   611.1   649.4   699.6   787.9  1474.1  5441.0 13391.9  24471.0    24367
