minjingshi@client-measure-8n98:~/memcache-perf-dynamic$ ./mcperf -s 10.0.16.3 -a 10.0.16.4 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1800 --qps_interval 5 --qps_min 5000 --qps_max 100000 --qps_seed 3274
Random waveform, supplied seed
Total number of intervals = 360 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227, 37496, 83925, 51037, 33690, 51474, 73708, 98618, 81977, 91567, 48236, 91726, 52458, 70467, 71151, 65016, 42057, 78821, 60720, 39911, 10628, 73736, 7334, 91868, 76670, 10405, 26019, 55530, 29615, 66057, 55281, 21177, 88239, 70227, 23421, 97104, 6235, 58045, 23729, 40897, 53312, 87262, 81836, 92274, 47252, 75747, 80994, 98224, 7737, 37514, 10640, 90490, 92514, 89245, 73823, 46565, 21419, 66915, 31667, 72255, 99535, 9226, 67844, 71413, 97328, 55113, 53743, 15253, 90605, 25767, 93458, 95080, 88399, 95681, 33003, 98809, 64610, 51183, 20194, 7602, 46677, 5577, 23035, 57516, 62851, 38431, 25729, 19443, 19461, 42341, 5691, 40223, 29941, 41162, 43863, 20318, 93421, 48578, 40595, 17677, 78948, 9703, 9686, 7968, 15830, 8192, 79410, 76582, 54634, 72177, 15101, 8167, 44130, 53047, 97171, 81360, 77277, 38294, 11165, 74155, 12255, 52404, 17057, 6005, 85707, 79742, 58322, 26212, 69487, 29507, 51412, 67374, 55125, 53048, 12192, 36138, 60799, 36368, 39729, 95693, 40999, 65037, 12633, 50117, 62765, 12379, 49369, 39111, 52692, 24539, 61591, 47864, 16479, 75268, 8714, 13002, 77147, 43518, 27206, 55859, 37448, 45026, 99974, 64632, 49061, 80418, 16471, 35694, 13935, 79838, 48842, 17708, 31401, 62091, 87121, 81929, 42013, 90709, 67578, 58116, 68886)
Average QPS expected = 50334
Timestamp start: 1684320872383
Timestamp end: 1684322672983

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      397.4   691.4   173.5   230.9   252.5   335.7   370.1   388.2   399.7   415.5   434.5   481.6  1964.0  7974.3 29352.4   7367.4     7434
read      348.9   364.9   160.7   197.4   207.8   289.1   343.3   383.2   419.3   468.9   532.6   617.6  1023.1  4440.7 12953.7  67047.6    67201
read      343.6   413.7   148.8   197.3   207.7   285.5   336.2   369.6   399.0   441.4   505.2   600.1   937.3  5686.1 11352.0  86112.0    85927
read      348.4   346.7   160.7   196.8   207.3   289.3   346.0   389.0   426.4   475.9   539.1   619.1   911.2  4963.6  9652.6  63905.6    63953
read      396.2   443.1   160.7   204.8   215.9   322.2   403.2   456.9   495.6   541.2   601.9   705.3  1304.1  4928.9 13169.8  31508.4    31595
read      394.8   534.6   160.7   203.6   214.3   296.1   359.2   402.0   440.1   494.9   579.1   778.1  1854.7  6701.6 17328.7  87867.8    87879
read      343.5   318.1   173.5   232.3   253.3   323.4   352.1   368.0   378.8   391.2   403.7   429.7   541.7  5266.6 12597.3   7331.8     7287
read      352.5   306.0   148.8   200.9   210.7   285.3   353.5   403.3   442.1   486.9   541.7   636.4  1088.8  4184.9  9313.9  62217.0    62295
read      373.6   528.2   173.5   230.2   251.2   326.6   361.8   380.3   392.6   405.0   427.6   466.5  1247.9  8193.2 17018.6   6550.2     6561
read      439.6   789.6   160.7   204.7   216.6   336.6   423.8   473.9   509.5   550.1   610.3   771.5  1908.4  8594.6 31885.3  22607.4    22532
read      351.8   459.3   148.8   195.3   205.8   286.5   342.4   384.1   420.6   469.9   532.5   613.8  1025.6  5365.2 19788.3  60795.8    60653
read      349.3   459.7   148.8   195.5   206.0   287.1   343.7   387.2   424.8   472.8   534.5   614.8   911.4  5263.5 22364.7  58964.4    59076
read      345.0   366.9   160.7   195.6   206.0   286.9   340.5   380.5   417.0   464.3   525.3   601.3   901.1  4795.8  9791.3  60157.6    60154
read      516.8  1163.0   160.7   197.7   207.6   317.5   426.4   498.6   562.3   664.4   838.2  1039.6  4770.7 12498.2 36303.2  23109.6    22964
read      594.8  1813.7   160.7   213.7   229.9   350.5   406.8   440.5   465.1   497.4   544.3   714.5  6201.1 31328.3 37527.9   8069.2     8172
read      522.5  1183.0   160.7   196.0   205.5   300.8   408.4   491.1   575.1   744.4   975.3  1205.9  4647.8 11118.6 37990.7  27677.0    27652
read      363.1   420.6   160.7   198.0   208.7   295.2   373.4   422.8   457.3   495.9   542.1   618.8  1224.5  5021.1 13340.1  37536.4    37594
read      381.5   366.3   160.7   205.0   216.5   324.8   409.0   454.4   485.3   518.7   558.9   625.9  1209.9  4332.5 12221.2  24356.2    24367
read      381.4   415.6   160.7   204.2   215.8   314.4   400.8   447.5   477.8   510.7   551.8   628.0  1240.4  5024.0 14272.8  33679.6    33771
read      327.6   223.1   148.8   200.4   209.7   271.3   322.4   367.4   403.4   449.0   506.0   599.1   885.0  2625.5  7591.4  84901.6    84944
read      318.8   223.9   148.8   197.5   207.3   267.0   316.7   358.8   392.9   435.7   490.5   574.4   794.5  2471.0  7640.8  85492.0    85666
read      353.4   218.1   160.7   202.5   212.4   294.5   373.5   425.5   462.6   502.9   550.4   632.8   857.2  2531.4  6879.2  51911.4    51918
read      360.9   242.9   160.7   204.5   216.1   313.1   398.6   443.8   474.5   507.0   544.1   607.8   765.5  2350.8  9800.9  34332.8    34406
