#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      457.8   370.4   173.5   266.2   292.9   431.8   481.5   509.2   530.9   553.9   587.3   641.7   871.9  6076.1 12491.4   7443.6     7434
read      423.1   702.7   160.7   212.5   225.1   317.9   388.6   437.3   476.3   525.9   586.8   697.8  2283.0  9173.0 30502.9  67146.3    67201
read      336.4   379.4   160.7   207.0   218.3   286.6   334.7   369.0   397.6   434.6   483.9   556.2   730.7  4842.1 13045.1  85748.7    85927
read      417.0   567.1   160.7   219.7   232.7   341.2   424.1   476.6   517.0   563.7   621.8   712.3  1148.8  6927.7 30530.5  63859.3    63953
read      441.1   567.4   160.7   220.9   235.3   367.4   477.0   536.8   572.5   609.1   650.3   720.4  1148.6  7051.3 30162.3  31627.3    31595
read      333.6   186.9   160.7   210.6   222.4   294.9   345.0   380.2   408.2   444.7   491.5   561.4   713.4  1943.2  5543.3  87823.4    87879
read      671.1  2010.7   173.5   245.6   270.0   430.4   491.7   525.5   548.2   579.2   623.4   744.8  6563.5 31964.9 39525.6   7239.4     7287
read      374.0   502.5   160.7   208.5   220.3   298.5   364.8   416.9   459.5   510.8   568.8   642.5   980.0  5796.8 26543.0  62195.1    62295
read      592.0  1632.0   173.5   247.6   270.8   416.4   471.0   502.2   524.7   549.0   585.1   671.2  5509.0 31137.4 37695.7   6626.6     6561
read      519.4  1029.4   160.7   218.8   234.1   398.7   511.7   565.9   601.4   638.8   684.3   761.7  3807.0 12105.7 35427.7  22532.1    22532
read      365.2   216.4   160.7   212.6   224.9   314.7   388.2   438.6   477.5   524.3   575.9   640.7   777.7  1940.7  8268.3  60413.0    60653
read      375.5   250.0   160.7   214.6   226.9   322.9   400.5   451.6   490.3   535.5   586.8   654.6   797.4  2878.9  7974.1  59116.4    59076
read      375.7   231.6   160.7   216.9   229.0   327.1   404.1   454.6   492.7   537.0   587.4   653.8   796.7  1589.8  9919.0  60078.1    60154
read      436.8   290.9   160.7   227.5   244.5   403.8   511.7   555.7   582.5   612.6   647.0   700.9   824.5  2974.9 10578.2  23017.5    22964
read      453.9   398.2   173.5   261.4   286.6   434.2   488.2   517.2   537.1   560.1   589.3   639.6   792.5  5095.1 20194.9   8198.2     8172
read      440.8   326.7   160.7   227.9   245.2   402.4   501.2   552.3   584.1   618.6   659.0   718.3   869.7  3207.8 12539.6  27573.0    27652
read      427.7   498.9   160.7   219.7   232.7   354.1   460.4   532.0   574.3   615.8   661.7   727.0  1011.1  5132.7 30415.6  37508.5    37594
read      447.0   451.2   160.7   223.7   239.2   391.7   512.2   561.6   590.3   622.6   661.5   722.0   971.1  5085.5 17132.3  24363.5    24367
read      425.3   385.5   160.7   219.0   231.6   354.2   469.7   539.3   577.9   616.4   659.5   722.8  1034.8  4095.2 15855.6  33751.9    33771
read      349.1   390.1   160.7   212.3   223.8   297.1   348.5   385.6   415.5   454.3   505.7   583.7   791.9  4661.9 14539.1  85011.1    84944
read      350.4   334.9   160.7   213.1   224.7   300.0   353.8   391.1   421.3   459.5   509.9   585.8   801.1  3890.5 10881.4  85806.7    85666
read      405.3   384.2   160.7   217.1   229.5   339.2   426.5   483.9   529.2   578.4   633.5   708.2   994.9  3897.5 13020.5  51886.1    51918
